school,city,county,area,city_population,enrollment,classification,private,naming_type,mascot,conference,status
Wardlow Depot,Wardlow Depot,Olivet,Vermilion Valley,9500,596,4A,False,city flagship,Tule Elk,Olive Belt League,new
Jessup Bar,Jessup Bar,Olivet,Vermilion Valley,7400,420,3A,False,city flagship,Grangers,Olive Belt League,new
South Simmons,South Simmons,Olivet,Vermilion Valley,6000,396,3A,False,city flagship,Balers,Olive Belt League,new
Prune Siding,Prune Siding,Olivet,Vermilion Valley,5000,287,2A,False,city flagship,Grangers,Olive Belt League,new
Barley Gap,Barley Gap,Olivet,Vermilion Valley,4300,221,2A,False,city flagship,Levee Rats,Olive Belt League,new
Welsh Plains,Welsh Plains,Paddock,Vermilion Valley,62400,1295,6A,False,city flagship,Balers,Paddock County League,new
Welsh Plains Northwest,Welsh Plains,Paddock,Vermilion Valley,62400,813,5A,False,directional,Harvesters,Paddock County League,new
Welsh Plains West,Welsh Plains,Paddock,Vermilion Valley,62400,1061,6A,False,directional,Grangers,Paddock County League,new
Paddock County Catholic,Welsh Plains,Paddock,Vermilion Valley,62400,231,2A,True,private/independent,Levee Rats,Paddock County League,new
Paddock Institute,Welsh Plains,Paddock,Vermilion Valley,62400,294,2A,True,private/independent,Ricebirds,Paddock County League,new
Paddock County,New Piscataway,Paddock,Vermilion Valley,24500,1474,7A,False,county consolidation,Snow Geese,Paddock County League,new
Fort Bardsley,Fort Bardsley,Paddock,Vermilion Valley,14200,986,5A,False,city flagship,Egrets,Paddock County League,new
Shiloh,Shiloh,Paddock,Vermilion Valley,9600,586,4A,False,city flagship,Grangers,Paddock County League,new
Zion Hill,Zion Hill,Paddock,Vermilion Valley,7100,496,3A,False,city flagship,Tule Elk,Paddock County League,new
Canaan Bend,Canaan Bend,Paddock,Vermilion Valley,5600,400,3A,False,city flagship,Threshers,Paddock County League,new
Beulah Landing,Beulah Landing,Paddock,Vermilion Valley,4500,274,2A,False,city flagship,Threshers,Paddock County League,new
Free Hill,Free Hill,Paddock,Vermilion Valley,3800,208,2A,False,city flagship,Snow Geese,Paddock County League,new
Promise Land,Promise Land,Paddock,Vermilion Valley,3200,221,2A,False,city flagship,Tule Elk,Paddock County League,new
Camden Flat,Camden Flat,Paddock,Vermilion Valley,2800,167,1A,False,city flagship,Ditchriders,Paddock County League,new
Jamaica,Jamaica,Paddock,Vermilion Valley,2500,145,1A,False,city flagship,Ditchriders,Paddock County League,new
Prune Springs,Prune Springs,Bardsley,Vermilion Valley,35400,1130,6A,False,city flagship,Grangers,Bardsley Union League,new
Steelhead Creek,Prune Springs,Bardsley,Vermilion Valley,35400,771,4A,False,geographic feature,Ricebirds,Bardsley Union League,new
Prune Springs Seminary,Prune Springs,Bardsley,Vermilion Valley,35400,64,1A,True,private/independent,Threshers,Bardsley Union League,new
Grace Christian,Prune Springs,Bardsley,Vermilion Valley,35400,76,1A,True,private/independent,Grangers,Bardsley Union League,new
Bardsley County,Sutter Yard,Bardsley,Vermilion Valley,13900,1003,5A,False,county consolidation,Canal Diggers,Bardsley Union League,new
Bardsley Classical Academy,Sutter Yard,Bardsley,Vermilion Valley,13900,68,1A,True,private/independent,Sandhill Cranes,Bardsley Union League,new
Sutter Reach,Sutter Reach,Bardsley,Vermilion Valley,8000,461,3A,False,city flagship,Levee Rats,Bardsley Union League,new
Fig Gap,Fig Gap,Bardsley,Vermilion Valley,5500,314,2A,False,city flagship,Canal Diggers,Bardsley Union League,new
Sutter Basin,Sutter Basin,Bardsley,Vermilion Valley,4000,205,2A,False,city flagship,Balers,Bardsley Union League,new
Levee Bluff,Levee Bluff,Bardsley,Vermilion Valley,3200,226,2A,False,city flagship,Olive Pickers,Bardsley Union League,new
Tunnel Diggings,Tunnel Diggings,Goldbank,Siskiyou Valley,136100,1186,6A,False,city flagship,Hydraulickers,Siskiyou Valley Conference,new
Walter Mondale,Tunnel Diggings,Goldbank,Siskiyou Valley,136100,992,5A,False,president/vice president,Pack Mules,Siskiyou Valley Conference,new
Lonepine Canyon,Tunnel Diggings,Goldbank,Siskiyou Valley,136100,1167,6A,False,geographic feature,Nuggets,Siskiyou Valley Conference,new
Tunnel Diggings Southwest,Tunnel Diggings,Goldbank,Siskiyou Valley,136100,1009,5A,False,directional,Sluicers,Siskiyou Valley Conference,new
Tunnel Diggings Northeast,Tunnel Diggings,Goldbank,Siskiyou Valley,136100,1212,6A,False,directional,Sluicers,Siskiyou Valley Conference,new
Alben Barkley,Tunnel Diggings,Goldbank,Siskiyou Valley,136100,903,5A,False,president/vice president,Hydraulickers,Siskiyou Valley Conference,new
Tunnel Diggings Hall,Tunnel Diggings,Goldbank,Siskiyou Valley,136100,696,4A,True,private/independent,River Otters,Siskiyou Valley Conference,new
Goldbank Hall,Tunnel Diggings,Goldbank,Siskiyou Valley,136100,470,3A,True,private/independent,Hydraulickers,Siskiyou Valley Conference,new
Bethel Christian,Tunnel Diggings,Goldbank,Siskiyou Valley,136100,519,3A,True,private/independent,Highgraders,Siskiyou Valley Conference,new
St. Cecilia Academy,Tunnel Diggings,Goldbank,Siskiyou Valley,136100,274,2A,True,private/independent,Pack Mules,Siskiyou Valley Conference,new
Sluice Crossing,Sluice Crossing,Goldbank,Siskiyou Valley,53400,1680,7A,False,city flagship,Nuggets,Siskiyou Valley Conference,new
Eisenhower,Sluice Crossing,Goldbank,Siskiyou Valley,53400,1141,6A,False,president/vice president,Stampmillers,Siskiyou Valley Conference,new
Monsignor Barrow,Sluice Crossing,Goldbank,Siskiyou Valley,53400,258,2A,True,private/independent,Quartz Hounds,Siskiyou Valley Conference,new
Ditch Fork,Ditch Fork,Goldbank,Siskiyou Valley,30900,1619,7A,False,city flagship,Cradlers,Siskiyou Valley Conference,new
Martin Luther,Ditch Fork,Goldbank,Siskiyou Valley,30900,80,1A,True,private/independent,Bullion,Siskiyou Valley Conference,new
Calvary Chapel Ditch Fork,Ditch Fork,Goldbank,Siskiyou Valley,30900,63,1A,True,private/independent,Highgraders,Siskiyou Valley Conference,new
Gulch Bend,Gulch Bend,Goldbank,Siskiyou Valley,20900,1496,7A,False,city flagship,Hydraulickers,Siskiyou Valley Conference,new
Foothills Christian,Gulch Bend,Goldbank,Siskiyou Valley,20900,79,1A,True,private/independent,Stampmillers,Siskiyou Valley Conference,new
Goldbank County,Hydraulic Gap,Goldbank,Siskiyou Valley,15500,819,5A,False,county consolidation,Stampmillers,Siskiyou Valley Conference,new
Fort Tabor,Fort Tabor,Goldbank,Siskiyou Valley,12100,626,4A,False,city flagship,Hydraulickers,Siskiyou Valley Conference,new
Tunnelton,Tunnelton,Goldbank,Siskiyou Valley,9800,674,4A,False,city flagship,Assayers,Siskiyou Valley Conference,new
Cradle Reach,Cradle Reach,Goldbank,Siskiyou Valley,8200,466,3A,False,city flagship,Nuggets,Siskiyou Valley Conference,new
Tailing Crossing,Tailing Crossing,Goldbank,Siskiyou Valley,7000,380,3A,False,city flagship,Nuggets,Siskiyou Valley Conference,new
Fountain Park,Ewart Bar,Goldbank,Siskiyou Valley,6100,368,3A,False,union district,Bullion,Siskiyou Valley Conference,new
Cook City,Cook City,Featherstone,Siskiyou Valley,51300,1706,8A,False,city flagship,Snowshoers,Feather River League,new
Madison,Cook City,Featherstone,Siskiyou Valley,51300,1028,5A,False,president/vice president,Sluicers,Feather River League,new
Featherstone Institute,Cook City,Featherstone,Siskiyou Valley,51300,177,1A,True,private/independent,Powder Monkeys,Feather River League,new
Caverly,Caverly,Featherstone,Siskiyou Valley,20100,1147,6A,False,city flagship,Cradlers,Feather River League,new
Serra Caverly,Caverly,Featherstone,Siskiyou Valley,20100,75,1A,True,private/independent,Pack Mules,Feather River League,new
Tunnelwood,Tunnelwood,Featherstone,Siskiyou Valley,11600,655,4A,False,city flagship,Ravens,Feather River League,new
Featherton,Featherton,Featherstone,Siskiyou Valley,7900,509,3A,False,city flagship,Sluicers,Feather River League,new
Gilhooly,Gilhooly,Featherstone,Siskiyou Valley,5800,336,2A,False,city flagship,Nuggets,Feather River League,new
Hydraulicwood,Hydraulicwood,Featherstone,Siskiyou Valley,4600,284,2A,False,city flagship,Nuggets,Feather River League,new
Hydraulicwood-Caverlyville Union,Caverlyville,Featherstone,Siskiyou Valley,3700,263,2A,False,union district,Powder Monkeys,Feather River League,new
Vessey Switch,Vessey Switch,Highgrade,Siskiyou Valley,21400,1277,6A,False,city flagship,Highgraders,High Sierra League,new
St. Perpetua Preparatory,Vessey Switch,Highgrade,Siskiyou Valley,21400,61,1A,True,private/independent,Nuggets,High Sierra League,new
Sluice Landing,Sluice Landing,Highgrade,Siskiyou Valley,8400,604,4A,False,city flagship,Nuggets,High Sierra League,new
Vessey Junction,Vessey Junction,Highgrade,Siskiyou Valley,4900,287,2A,False,city flagship,Snowshoers,High Sierra League,new
Vessey Junction-Tailingford Union,Tailingford,Highgrade,Siskiyou Valley,3300,201,2A,False,union district,Argonauts,High Sierra League,new
Scheelite County,Dry Bar,Scheelite,North Range,27600,1422,7A,False,county consolidation,Alkali Cats,Sink Valley League,new
Mirage Siding,Mirage Siding,Scheelite,North Range,10800,621,4A,False,city flagship,Dust Devils,Sink Valley League,new
Tungsten Reach,Tungsten Reach,Scheelite,North Range,6300,361,3A,False,city flagship,Haywagons,Sink Valley League,new
Mirage Crossing,Mirage Crossing,Scheelite,North Range,4200,279,2A,False,city flagship,Tungsten,Sink Valley League,new
Saltbush Reach,Saltbush Reach,Scheelite,North Range,3100,161,1A,False,city flagship,Sinkholes,Sink Valley League,new
Furrow Crossing,Furrow Crossing,Barlowe,Halbrook Basin,92800,1359,7A,False,city flagship,Benchriders,Barlowe Bench League,new
Indigo Bend,Furrow Crossing,Barlowe,Halbrook Basin,92800,1197,6A,False,geographic feature,Onion Toppers,Barlowe Bench League,new
Herbert Hoover,Furrow Crossing,Barlowe,Halbrook Basin,92800,1139,6A,False,president/vice president,Bramblers,Barlowe Bench League,new
Ronald Reagan,Furrow Crossing,Barlowe,Halbrook Basin,92800,1105,6A,False,president/vice president,Onion Toppers,Barlowe Bench League,new
Archbishop Quinlan,Furrow Crossing,Barlowe,Halbrook Basin,92800,202,2A,True,private/independent,Furrows,Barlowe Bench League,new
St. Lucy,Furrow Crossing,Barlowe,Halbrook Basin,92800,332,2A,True,private/independent,Orchardists,Barlowe Bench League,new
Veritas Academy,Furrow Crossing,Barlowe,Halbrook Basin,92800,334,2A,True,private/independent,Benchriders,Barlowe Bench League,new
Barlowe County Christian,Furrow Crossing,Barlowe,Halbrook Basin,92800,358,3A,True,private/independent,Cider Pressers,Barlowe Bench League,new
Pear Slough,Pear Slough,Barlowe,Halbrook Basin,36400,1277,6A,False,city flagship,Bramblers,Barlowe Bench League,new
Pear Slough Northeast,Pear Slough,Barlowe,Halbrook Basin,36400,845,5A,False,directional,Pear Packers,Barlowe Bench League,new
New Hope Christian,Pear Slough,Barlowe,Halbrook Basin,36400,122,1A,True,private/independent,Onion Toppers,Barlowe Bench League,new
Benchton,Benchton,Barlowe,Halbrook Basin,21000,1360,7A,False,city flagship,Benchriders,Barlowe Bench League,new
St. Genevieve,Benchton,Barlowe,Halbrook Basin,21000,58,1A,True,private/independent,Hop Pickers,Barlowe Bench League,new
Ciderhaven,Ciderhaven,Barlowe,Halbrook Basin,14300,841,5A,False,city flagship,Cider Pressers,Barlowe Bench League,new
Bench Head,Bench Head,Barlowe,Halbrook Basin,10600,753,4A,False,city flagship,Bramblers,Barlowe Bench League,new
Haddon Siding,Haddon Siding,Barlowe,Halbrook Basin,8300,466,3A,False,city flagship,Onion Toppers,Barlowe Bench League,new
Garrow Depot,Garrow Depot,Barlowe,Halbrook Basin,6700,453,3A,False,city flagship,Benchriders,Barlowe Bench League,new
