school,city,county,area,city_population,enrollment,classification,private,naming_type,mascot,conference,status
Lillian Williams,Norview,Marlow,Ashbury Metro,93588,1961,5A,False,namesake,Vikings,Metropolitan Athletic Conference,new
James Baldwin,Perryville,Marlow,Ashbury Metro,90000,1951,5A,False,namesake,Jaguars,Metropolitan Athletic Conference,new
Perryville,Perryville,Marlow,Ashbury Metro,90000,1587,4A,False,city flagship,Timberwolves,Metropolitan Athletic Conference,new
Perryville Civic Leadership Academy,Perryville,Marlow,Ashbury Metro,90000,1342,3A,False,magnet/technical,Firebirds,Metropolitan Athletic Conference,new
Petra Bianchi,Perryville,Marlow,Ashbury Metro,90000,1600,4A,False,namesake,Trojans,Metropolitan Athletic Conference,new
Commonwealth,St. Varian,Marlow,Ashbury Metro,120000,1638,4A,False,district/neighborhood,Firebirds,Rose Valley League,new
Gabriel Montoya,St. Varian,Marlow,Ashbury Metro,120000,1203,3A,False,namesake,Comets,Rose Valley League,new
Lars Jansen,St. Varian,Marlow,Ashbury Metro,120000,1626,4A,False,namesake,Jaguars,Rose Valley League,new
St. Catherine Academy,St. Varian,Marlow,Ashbury Metro,120000,1296,3A,False,namesake,Timberwolves,Rose Valley League,new
John Quincy Adams,St. Varian,Marlow,Ashbury Metro,120000,1400,4A,False,namesake,Engineers,Rose Valley League,new
St. Varian,St. Varian,Marlow,Ashbury Metro,120000,1477,4A,False,city flagship,Marlins,Rose Valley League,new
Belden Springs,Belden Springs,Camas,Ashbury Metro,15000,522,1A,False,city flagship,Timberwolves,Westside League,new
Belden Springs Academy of Music and Media,Belden Springs,Camas,Ashbury Metro,15000,558,1A,False,magnet/technical,Bears,Westside League,new
Haverly,Haverly,Camas,Ashbury Metro,18000,631,1A,False,city flagship,Trojans,Westside League,new
Katherine Johnson,Haverly,Camas,Ashbury Metro,18000,665,2A,False,namesake,Engineers,Westside League,new
Purcell School of Commerce,Purcell,Marlow,Ashbury Metro,39905,1195,3A,False,magnet/technical,Foxes,Westside League,new
Willa Brown,Purcell,Marlow,Ashbury Metro,39905,721,2A,False,namesake,Stags,Westside League,new
Quillan,Quillan,Camas,Ashbury Metro,12000,473,1A,False,city flagship,Miners,Westside League,new
Quillan Technical Arts Academy,Quillan,Camas,Ashbury Metro,12000,391,1A,False,magnet/technical,Timberwolves,Westside League,new
San Lorenzo,San Lorenzo,Marlow,Ashbury Metro,10000,720,2A,False,city flagship,Vikings,Westside League,new
Selbyville Manufacturing and Technology Academy,Selbyville,Camas,Ashbury Metro,26379,950,2A,False,magnet/technical,Eagles,Westside League,new
Celia Browne,Fort Carden,Tamarack,Cascade Divide,200000,2028,5A,False,namesake,Vikings,Cascade Metro League,new
Eleanor Cole,Fort Carden,Tamarack,Cascade Divide,200000,1884,5A,False,namesake,Pioneers,Cascade Metro League,new
Fort Carden,Fort Carden,Tamarack,Cascade Divide,200000,2170,5A,False,city flagship,Pelicans,Cascade Metro League,new
Snowline,Fort Carden,Tamarack,Cascade Divide,200000,2396,6A,False,district/neighborhood,Comets,Cascade Metro League,new
Timber Crest,Fort Carden,Tamarack,Cascade Divide,200000,2804,7A,False,district/neighborhood,Spartans,Cascade Metro League,new
Winifred Booker,Fort Carden,Tamarack,Cascade Divide,200000,3118,7A,False,namesake,Lancers,Cascade Metro League,new
Annie Springs Crater View,Annie Springs,Cinder,Cascade Divide,24420,879,2A,False,district/neighborhood,Eagles,High Lakes League,new
Crater View,Dahlberg Summit,Tamarack,Cascade Divide,40000,1036,3A,False,district/neighborhood,Mustangs,High Lakes League,new
Dahlberg Summit,Dahlberg Summit,Tamarack,Cascade Divide,40000,914,2A,False,city flagship,Vikings,High Lakes League,new
Dahlberg Summit Science,Dahlberg Summit,Tamarack,Cascade Divide,40000,931,2A,False,magnet/technical,Titans,High Lakes League,new
Klamoya,Klamoya,Tamarack,Cascade Divide,25000,1069,3A,False,city flagship,Comets,High Lakes League,new
St. Sophia,Klamoya,Tamarack,Cascade Divide,25000,731,2A,True,private/independent,Hawks,High Lakes League,new
New Leiden Classical Academy,New Leiden,Tamarack,Cascade Divide,35738,858,2A,False,magnet/technical,Coyotes,High Lakes League,new
John Lewis,Novak,Tamarack,Cascade Divide,30000,636,1A,False,namesake,Engineers,High Lakes League,new
Novak,Novak,Tamarack,Cascade Divide,30000,806,2A,False,city flagship,Loggers,High Lakes League,new
Soren Ekström,Novak,Tamarack,Cascade Divide,30000,718,2A,False,namesake,Mustangs,High Lakes League,new
Mila Melnick,Orlova,Tamarack,Cascade Divide,50000,1406,4A,False,namesake,Coyotes,High Lakes League,new
Mountain Gate,Orlova,Tamarack,Cascade Divide,50000,1019,3A,False,district/neighborhood,Bears,High Lakes League,new
Orlova,Orlova,Tamarack,Cascade Divide,50000,1175,3A,False,city flagship,Bears,High Lakes League,new
Anya Antonov,San Cordero,Tamarack,Cascade Divide,380000,2276,6A,False,namesake,Eagles,Summit Conference,new
Gwendolyn Brooks,San Cordero,Tamarack,Cascade Divide,380000,3573,7A,False,namesake,Navigators,Summit Conference,new
Igor Lebedev,San Cordero,Tamarack,Cascade Divide,380000,3171,7A,False,namesake,Bears,Summit Conference,new
Ruby Stokes,San Cordero,Tamarack,Cascade Divide,380000,3596,7A,False,namesake,Panthers,Summit Conference,new
San Cordero,San Cordero,Tamarack,Cascade Divide,380000,2680,7A,False,city flagship,Marlins,Summit Conference,new
San Cordero North,San Cordero,Tamarack,Cascade Divide,380000,3025,7A,False,magnet/technical,Vikings,Summit Conference,new
San Cordero South,San Cordero,Tamarack,Cascade Divide,380000,2347,6A,False,magnet/technical,Comets,Summit Conference,new
St. Genevieve San Cordero,San Cordero,Tamarack,Cascade Divide,380000,1544,4A,True,private/independent,Wolves,Summit Conference,new
Svenja Bianchi,San Cordero,Tamarack,Cascade Divide,380000,2443,6A,False,namesake,Wolves,Summit Conference,new
Thurgood Marshall,San Cordero,Tamarack,Cascade Divide,380000,2703,7A,False,namesake,Wolves,Summit Conference,new
Bancroft,Bancroft,Ferris,Gold Valley,18000,647,1A,False,city flagship,Loggers,Barclay Civic Conference,new
Sofía Barragán,Bancroft,Ferris,Gold Valley,18000,649,1A,False,namesake,Vikings,Barclay Civic Conference,new
Mary McLeod Bethune,Barclay,Ferris,Gold Valley,55000,1565,4A,False,namesake,Foxes,Barclay Civic Conference,new
Eleanor Tillman,Las Norias,Ferris,Gold Valley,45000,1031,3A,False,namesake,Condors,Barclay Civic Conference,new
Las Norias,Las Norias,Ferris,Gold Valley,45000,1198,3A,False,city flagship,Railers,Barclay Civic Conference,new
Las Norias East,Las Norias,Ferris,Gold Valley,45000,1011,3A,False,district/neighborhood,Bison,Barclay Civic Conference,new
Naomi Moss,San Tomás,Ferris,Gold Valley,50000,1255,3A,False,namesake,Pioneers,Barclay Civic Conference,new
San Tomás,San Tomás,Ferris,Gold Valley,50000,1038,3A,False,city flagship,Engineers,Barclay Civic Conference,new
Xavier Robles,San Tomás,Ferris,Gold Valley,50000,1308,3A,False,namesake,Eagles,Barclay Civic Conference,new
Bellacosta Foundry High,Bellacosta,Ferris,Gold Valley,80000,1773,4A,False,district/neighborhood,Lancers,Bellacosta Heritage Athletic Association,new
Bellacosta University Prep,Bellacosta,Ferris,Gold Valley,80000,1004,3A,True,private/independent,Mavericks,Bellacosta Heritage Athletic Association,new
De La Salle,Bellacosta,Ferris,Gold Valley,80000,1235,3A,False,namesake,Comets,Bellacosta Heritage Athletic Association,new
Fellows Mill,Fellows Mill,Sablewood,Gold Valley,60000,1052,3A,False,city flagship,Miners,Bellacosta Heritage Athletic Association,new
Fellows Mill Civic Leadership Academy,Fellows Mill,Sablewood,Gold Valley,60000,1090,3A,False,magnet/technical,Trojans,Bellacosta Heritage Athletic Association,new
Gagarin,Gagarin,Sablewood,Gold Valley,70000,1102,3A,False,city flagship,Timberwolves,Bellacosta Heritage Athletic Association,new
Gagarin East,Gagarin,Sablewood,Gold Valley,70000,1370,3A,False,magnet/technical,Condors,Bellacosta Heritage Athletic Association,new
Siskiyou Valley,Gagarin,Sablewood,Gold Valley,70000,1099,3A,False,district/neighborhood,Pilots,Bellacosta Heritage Athletic Association,new
Providence Catholic,Gagarin,Sablewood,Gold Valley,70000,1469,4A,False,namesake,Titans,Bellacosta Heritage Athletic Association,new
Barclay,Barclay,Ferris,Gold Valley,55000,1025,3A,False,city flagship,Coyotes,Fellows Mill Pioneer League,new
Barclay Golden Gate,Barclay,Ferris,Gold Valley,55000,1369,3A,False,district/neighborhood,Miners,Fellows Mill Pioneer League,new
Fellows Mill South,Fellows Mill,Sablewood,Gold Valley,60000,971,2A,False,magnet/technical,Miners,Fellows Mill Pioneer League,new
Katherine Davenport,Fellows Mill,Sablewood,Gold Valley,60000,1207,3A,False,namesake,Spartans,Fellows Mill Pioneer League,new
Leidesdorff Academy of Music and Media,Leidesdorff,Sablewood,Gold Valley,56304,1351,3A,False,magnet/technical,Trojans,Fellows Mill Pioneer League,new
Claudette Freeman,Monte Blanco,Ferris,Gold Valley,60000,965,2A,False,namesake,Grizzlies,Fellows Mill Pioneer League,new
Monte Blanco,Monte Blanco,Ferris,Gold Valley,60000,937,2A,False,city flagship,Stags,Fellows Mill Pioneer League,new
Monte Blanco Health Sciences Academy,Monte Blanco,Ferris,Gold Valley,60000,1189,3A,False,magnet/technical,Hawks,Fellows Mill Pioneer League,new
Oscar Micheaux,Monte Blanco,Ferris,Gold Valley,60000,1229,3A,False,namesake,Pelicans,Fellows Mill Pioneer League,new
Golden Gate,Montelago,Ferris,Gold Valley,250000,1896,5A,False,district/neighborhood,Firebirds,Foundry League,new
Isaiah Price,Montelago,Ferris,Gold Valley,250000,1718,4A,False,namesake,Eagles,Foundry League,new
Lars Bellini,Montelago,Ferris,Gold Valley,250000,2382,6A,False,namesake,Falcons,Foundry League,new
Matteo Dahl,Montelago,Ferris,Gold Valley,250000,1796,4A,False,namesake,Mavericks,Foundry League,new
Montelago,Montelago,Ferris,Gold Valley,250000,2035,5A,False,city flagship,Ravens,Foundry League,new
Montelago South,Montelago,Ferris,Gold Valley,250000,1662,4A,False,magnet/technical,Engineers,Foundry League,new
Rafael Escobedo,Montelago,Ferris,Gold Valley,250000,2072,5A,False,namesake,Trojans,Foundry League,new
St. Agnes Preparatory,Montelago,Ferris,Gold Valley,250000,1137,3A,True,private/independent,Jaguars,Foundry League,new
St. Helena Academy,Montelago,Ferris,Gold Valley,250000,1233,3A,True,private/independent,Panthers,Foundry League,new
Thomas Ekström,Montelago,Ferris,Gold Valley,250000,2070,5A,False,namesake,Condors,Foundry League,new
Lyndon B. Johnson,Mercer City,Ferris,Gold Valley,280000,2365,6A,False,namesake,Foxes,Golden State Conference,new
Jesuit,Mercer City,Ferris,Gold Valley,280000,2474,6A,False,namesake,Steelheads,Golden State Conference,new
Xavier College Prep,Mercer City,Ferris,Gold Valley,280000,1769,4A,False,namesake,Steelheads,Golden State Conference,new
Lillian Stokes,Mercer City,Ferris,Gold Valley,280000,1952,5A,False,namesake,Pilots,Golden State Conference,new
Mercer City,Mercer City,Ferris,Gold Valley,280000,1747,4A,False,city flagship,Grizzlies,Golden State Conference,new
Mercer City School of Design and Engineering,Mercer City,Ferris,Gold Valley,280000,1831,5A,False,magnet/technical,Stags,Golden State Conference,new
Mercer City North,Mercer City,Ferris,Gold Valley,280000,2319,6A,False,magnet/technical,Mustangs,Golden State Conference,new
Petra Jansen,Mercer City,Ferris,Gold Valley,280000,2320,6A,False,namesake,Titans,Golden State Conference,new
St. Olga College Prep,Mercer City,Ferris,Gold Valley,280000,1312,3A,True,private/independent,Loggers,Golden State Conference,new
Thomas Halvorsen,Mercer City,Ferris,Gold Valley,280000,2072,5A,False,namesake,Navigators,Golden State Conference,new
Lillian Price,Moriarty,Ferris,Gold Valley,150000,2069,5A,False,namesake,Grizzlies,Mission Valley Athletic Conference,new
Moriarty Heights,Moriarty,Ferris,Gold Valley,150000,1568,4A,False,namesake,Foxes,Mission Valley Athletic Conference,new
Moriarty,Moriarty,Ferris,Gold Valley,150000,1559,4A,False,city flagship,Eagles,Mission Valley Athletic Conference,new
Moriarty West,Moriarty,Ferris,Gold Valley,150000,1595,4A,False,district/neighborhood,Hawks,Mission Valley Athletic Conference,new
Ruby Mercer,Moriarty,Ferris,Gold Valley,150000,1797,4A,False,namesake,Bears,Mission Valley Athletic Conference,new
Vineyard High,Moriarty,Ferris,Gold Valley,150000,2213,6A,False,district/neighborhood,Trojans,Mission Valley Athletic Conference,new
Foundry High,Lake Esperanza,Ferris,Gold Valley,220000,2593,6A,False,district/neighborhood,Timberwolves,Orchard League,new
Gabriel Zúñiga,Lake Esperanza,Ferris,Gold Valley,220000,1919,5A,False,namesake,Bears,Orchard League,new
Lake Esperanza,Lake Esperanza,Ferris,Gold Valley,220000,2751,7A,False,city flagship,Hawks,Orchard League,new
Lake Esperanza North,Lake Esperanza,Ferris,Gold Valley,220000,2949,7A,False,magnet/technical,Engineers,Orchard League,new
Marcus Price,Lake Esperanza,Ferris,Gold Valley,220000,2754,7A,False,namesake,Marlins,Orchard League,new
Thomas Jansen,Lake Esperanza,Ferris,Gold Valley,220000,2874,7A,False,namesake,Marlins,Orchard League,new
Carmen Valera,Valderra,Ferris,Gold Valley,520000,2583,6A,False,namesake,Coyotes,Sacramento Headwaters Conference,new
Greta Adler,Valderra,Ferris,Gold Valley,520000,3066,7A,False,namesake,Trojans,Sacramento Headwaters Conference,new
Orchard Hill,Valderra,Ferris,Gold Valley,520000,2362,6A,False,district/neighborhood,Pilots,Sacramento Headwaters Conference,new
Rita Moreno,Valderra,Ferris,Gold Valley,520000,2698,7A,False,namesake,Grizzlies,Sacramento Headwaters Conference,new
Thelma Moss,Valderra,Ferris,Gold Valley,520000,3064,7A,False,namesake,Timberwolves,Sacramento Headwaters Conference,new
Valley Forge,Valderra,Ferris,Gold Valley,520000,2704,7A,False,district/neighborhood,Railers,Sacramento Headwaters Conference,new
Bellacosta,Bellacosta,Ferris,Gold Valley,80000,1748,4A,False,city flagship,Navigators,San Telmo Union Conference,new
Harold Calder,San Telmo,Ferris,Gold Valley,90000,1596,4A,False,namesake,Marlins,San Telmo Union Conference,new
San Telmo,San Telmo,Ferris,Gold Valley,90000,1548,4A,False,city flagship,Lancers,San Telmo Union Conference,new
San Telmo Agricultural Sciences Academy,San Telmo,Ferris,Gold Valley,90000,1697,4A,False,magnet/technical,Grizzlies,San Telmo Union Conference,new
Walter Langston,San Telmo,Ferris,Gold Valley,90000,1639,4A,False,namesake,Sentinels,San Telmo Union Conference,new
Evelyn Langston,Vespertine,Sablewood,Gold Valley,85000,1413,4A,False,namesake,Sentinels,San Telmo Union Conference,new
Cascade Christian,Vespertine,Sablewood,Gold Valley,85000,1380,3A,False,namesake,Timberwolves,San Telmo Union Conference,new
Vespertine Heights,Vespertine,Sablewood,Gold Valley,85000,1520,4A,False,namesake,Bears,San Telmo Union Conference,new
Vespertine,Vespertine,Sablewood,Gold Valley,85000,1806,5A,False,city flagship,Pelicans,San Telmo Union Conference,new
Abbey Vale,Abbey Vale,Ferris,Gold Valley,12000,434,1A,False,city flagship,Pelicans,Silver Glen Industrial Athletic Association,new
Abbey Vale Orchard Hill,Abbey Vale,Ferris,Gold Valley,12000,430,1A,False,district/neighborhood,Engineers,Silver Glen Industrial Athletic Association,new
Benedetti,Benedetti,Sablewood,Gold Valley,15000,453,1A,False,city flagship,Sentinels,Silver Glen Industrial Athletic Association,new
Benedetti Orchard Hill,Benedetti,Sablewood,Gold Valley,15000,627,1A,False,district/neighborhood,Knights,Silver Glen Industrial Athletic Association,new
Pope Francis,Elk Crossing,Ferris,Gold Valley,15783,568,1A,False,namesake,Firebirds,Silver Glen Industrial Athletic Association,new
McCrory,McCrory,Sablewood,Gold Valley,12000,397,1A,False,city flagship,Loggers,Silver Glen Industrial Athletic Association,new
Tomás Marín,McCrory,Sablewood,Gold Valley,12000,467,1A,False,namesake,Timberwolves,Silver Glen Industrial Athletic Association,new
Pasquale,Pasquale,Sablewood,Gold Valley,10000,720,2A,False,city flagship,Condors,Silver Glen Industrial Athletic Association,new
Porterfield,Porterfield,Sablewood,Gold Valley,10000,720,2A,False,city flagship,Falcons,Silver Glen Industrial Athletic Association,new
Greta Bellini,Silver Glen,Ferris,Gold Valley,17717,638,1A,False,namesake,Engineers,Silver Glen Industrial Athletic Association,new
St. Elian,St. Elian,Ferris,Gold Valley,6000,432,1A,False,city flagship,Pioneers,Silver Glen Industrial Athletic Association,new
Velasco,Velasco,Ferris,Gold Valley,8000,576,1A,False,city flagship,Jaguars,Silver Glen Industrial Athletic Association,new
Mission Ridge,Villard,Ferris,Gold Valley,15000,610,1A,False,district/neighborhood,Mavericks,Silver Glen Industrial Athletic Association,new
Villard,Villard,Ferris,Gold Valley,15000,470,1A,False,city flagship,Marlins,Silver Glen Industrial Athletic Association,new
Cortland,Cortland,Ferris,Gold Valley,190000,2606,7A,False,city flagship,Trojans,Valley Metro Conference,new
Cortland North,Cortland,Ferris,Gold Valley,190000,2715,7A,False,magnet/technical,Pelicans,Valley Metro Conference,new
Harry S. Truman,Cortland,Ferris,Gold Valley,190000,2729,7A,False,district/neighborhood,Coyotes,Valley Metro Conference,new
Nathaniel Ward,Cortland,Ferris,Gold Valley,190000,1715,4A,False,namesake,Mavericks,Valley Metro Conference,new
Oskar Weiss,Cortland,Ferris,Gold Valley,190000,1955,5A,False,namesake,Pioneers,Valley Metro Conference,new
Svenja Ekström,Cortland,Ferris,Gold Valley,190000,1961,5A,False,namesake,Bison,Valley Metro Conference,new
Valderra Heights,Valderra,Ferris,Gold Valley,520000,2206,6A,False,namesake,Pelicans,Vineyard League,new
Jean Lindgren,Valderra,Ferris,Gold Valley,520000,2727,7A,False,namesake,Jaguars,Vineyard League,new
Lars Mercier,Valderra,Ferris,Gold Valley,520000,2394,6A,False,namesake,Firebirds,Vineyard League,new
Petra Weiss,Valderra,Ferris,Gold Valley,520000,3189,7A,False,namesake,Firebirds,Vineyard League,new
St. Gabriel Preparatory,Valderra,Ferris,Gold Valley,520000,1461,4A,True,private/independent,Steelheads,Vineyard League,new
Valderra,Valderra,Ferris,Gold Valley,520000,1980,5A,False,city flagship,Eagles,Vineyard League,new
Valderra North,Valderra,Ferris,Gold Valley,520000,2370,6A,False,magnet/technical,Bison,Vineyard League,new
Dwight Eisenhower,Valderra,Ferris,Gold Valley,520000,2144,5A,False,magnet/technical,Coyotes,Vineyard League,new
Winifred Browne,Valderra,Ferris,Gold Valley,520000,2492,6A,False,namesake,Mustangs,Vineyard League,new
Jon Arrieta,Arrieta,Halbrook,Halbrook Basin,80000,1147,3A,False,namesake,Coyotes,Arrieta Intercity Conference,new
Bishop Valera,Arrieta,Halbrook,Halbrook Basin,80000,1752,4A,False,namesake,Pilots,Arrieta Intercity Conference,new
Harold Whitaker,Etchartville,Vance,Halbrook Basin,72741,1142,3A,False,namesake,Mavericks,Arrieta Intercity Conference,new
Sadie Freeman,Etchartville,Vance,Halbrook Basin,72741,1476,4A,False,namesake,Mavericks,Arrieta Intercity Conference,new
Greaves,Greaves,Vance,Halbrook Basin,80000,1564,4A,False,city flagship,Knights,Arrieta Intercity Conference,new
Greaves Aviation and Engineering Academy,Greaves,Vance,Halbrook Basin,80000,1319,3A,False,magnet/technical,Falcons,Arrieta Intercity Conference,new
St. Martin Preparatory,Greaves,Vance,Halbrook Basin,80000,1043,3A,True,private/independent,Loggers,Arrieta Intercity Conference,new
Viktor Gromov,Greaves,Vance,Halbrook Basin,80000,1834,5A,False,namesake,Foxes,Arrieta Intercity Conference,new
Northrup,Northrup,Vance,Halbrook Basin,70000,1321,3A,False,city flagship,Marlins,Arrieta Intercity Conference,new
Aitor Zubieta,Belyakov,Vance,Halbrook Basin,950000,2156,5A,False,namesake,Vikings,Basin Cities League,new
Belyakov Agricultural Sciences Academy,Belyakov,Vance,Halbrook Basin,950000,2258,6A,False,magnet/technical,Falcons,Basin Cities League,new
Belyakov Depot High,Belyakov,Vance,Halbrook Basin,950000,1940,5A,False,district/neighborhood,Falcons,Basin Cities League,new
Abraham Lincoln,Belyakov,Vance,Halbrook Basin,950000,2260,6A,False,magnet/technical,Pilots,Basin Cities League,new
Carmen Cordero,Belyakov,Vance,Halbrook Basin,950000,2220,6A,False,namesake,Knights,Basin Cities League,new
Mikhail Sidorov,Belyakov,Vance,Halbrook Basin,950000,3071,7A,False,namesake,Marlins,Basin Cities League,new
Orchard Gate,Belyakov,Vance,Halbrook Basin,950000,3155,7A,False,district/neighborhood,Ravens,Basin Cities League,new
Archbishop Valois,Belyakov,Vance,Halbrook Basin,950000,2953,7A,False,namesake,Bison,Basin Cities League,new
Yelena Belov,Belyakov,Vance,Halbrook Basin,950000,2494,6A,False,namesake,Railers,Basin Cities League,new
Cañada Grande,Cañada Grande,Vance,Halbrook Basin,100000,1975,5A,False,city flagship,Steelheads,Cañada Grande Industrial Athletic Association,new
Itziar Lertxundi,Cañada Grande,Vance,Halbrook Basin,100000,1590,4A,False,namesake,Wolves,Cañada Grande Industrial Athletic Association,new
Mater Dei,Cañada Grande,Vance,Halbrook Basin,100000,2571,6A,False,namesake,Mavericks,Cañada Grande Industrial Athletic Association,new
St. Gabriel Academy,Cañada Grande,Vance,Halbrook Basin,100000,1064,3A,True,private/independent,Spartans,Cañada Grande Industrial Athletic Association,new
Emerson,Emerson,Halbrook,Halbrook Basin,90000,1432,4A,False,city flagship,Timberwolves,Cañada Grande Industrial Athletic Association,new
Lorraine Hart,Starlight,Halbrook,Halbrook Basin,100000,1747,4A,False,namesake,Mustangs,Cañada Grande Industrial Athletic Association,new
Nicolás Villalba,Starlight,Halbrook,Halbrook Basin,100000,1945,5A,False,namesake,Coyotes,Cañada Grande Industrial Athletic Association,new
Starlight,Starlight,Halbrook,Halbrook Basin,100000,1818,5A,False,city flagship,Trojans,Cañada Grande Industrial Athletic Association,new
Starlight Science,Starlight,Halbrook,Halbrook Basin,100000,1689,4A,False,magnet/technical,Condors,Cañada Grande Industrial Athletic Association,new
Arrieta,Arrieta,Halbrook,Halbrook Basin,80000,1203,3A,False,city flagship,Lancers,Emerson Metropolitan League,new
Arrieta Treasure Valley,Arrieta,Halbrook,Halbrook Basin,80000,1658,4A,False,district/neighborhood,Condors,Emerson Metropolitan League,new
Lucía Villaseñor,Emerson,Halbrook,Halbrook Basin,90000,1470,4A,False,namesake,Coyotes,Emerson Metropolitan League,new
Paul Robeson,Emerson,Halbrook,Halbrook Basin,90000,1552,4A,False,namesake,Panthers,Emerson Metropolitan League,new
Yuri Chernov,Emerson,Halbrook,Halbrook Basin,90000,2027,5A,False,namesake,Timberwolves,Emerson Metropolitan League,new
Beatriz Salcedo,Zubieta,Vance,Halbrook Basin,90000,1658,4A,False,namesake,Steelheads,Emerson Metropolitan League,new
Zubieta,Zubieta,Vance,Halbrook Basin,90000,1695,4A,False,city flagship,Knights,Emerson Metropolitan League,new
Zubieta Manufacturing and Technology Academy,Zubieta,Vance,Halbrook Basin,90000,1593,4A,False,magnet/technical,Trojans,Emerson Metropolitan League,new
Zubieta River Plain,Zubieta,Vance,Halbrook Basin,90000,1533,4A,False,district/neighborhood,Pioneers,Emerson Metropolitan League,new
Adela Villaseñor,Caswell,Halbrook,Halbrook Basin,450000,3342,7A,False,namesake,Vikings,Foundry Conference,new
Cardinal Echevarria,Caswell,Halbrook,Halbrook Basin,450000,2627,7A,False,namesake,Marlins,Foundry Conference,new
Caswell,Caswell,Halbrook,Halbrook Basin,450000,3802,7A,False,city flagship,Stags,Foundry Conference,new
